date,price,action,reward,portfolio_value,cash,shares
2026-01-16,1413.6,2,-0.0011513269064489116,127700.51859217085,127700.51859217085,0.0
2026-01-19,1394.0,2,-0.0002,127700.51859217085,127700.51859217085,0.0
2026-01-20,1404.6,1,0.006054217898677887,128501.6881943599,6263.710436945985,87.02689574071901
2026-01-21,1402.5,1,-0.001623223041591837,128318.9317133044,6263.710436945985,87.02689574071901
2026-01-22,1386.1,0,-0.011184926053189602,126891.6906231566,6263.710436945985,87.02689574071901
2026-01-23,1380.5,0,-0.0038480762317001167,126404.34000700858,6263.710436945985,87.02689574071901
2026-01-27,1396.7,0,0.011091640281525456,127814.17571800823,6263.710436945985,87.02689574071901
2026-01-28,1391.0,0,-0.0038886015956028585,127318.12241228613,6263.710436945985,87.02689574071901
2026-01-29,1395.4,1,0.002803057686175422,127701.0407535453,6263.710436945985,87.02689574071901
2026-01-30,1390.4,0,-0.003413265179912622,127265.9062748417,6263.710436945985,87.02689574071901
2026-02-02,1437.1,1,0.03123506620567816,131330.06230593327,6263.710436945985,87.02689574071901
2026-02-03,1456.8,1,0.01276988571910049,133044.49215202546,6263.710436945985,87.02689574071901
2026-02-04,1443.4,2,-0.0011533744993752109,132917.71137031037,132917.71137031037,0.0
2026-02-05,1450.8,1,0.0037127798662262355,133438.80791844043,6519.613742713729,87.48221269349787
2026-02-06,1461.6,1,0.0068555094178363385,134383.6158155302,6519.613742713729,87.48221269349787
2026-02-09,1458.5,1,-0.0022201039451855416,134112.42095618037,6519.613742713729,87.48221269349787
2026-02-10,1468.7,1,0.006431474841350634,135004.73952565406,6519.613742713729,87.48221269349787
2026-02-11,1448.9,2,-0.0011521614221236432,134876.2543998711,134876.2543998711,0.0
2026-02-12,1419.6,2,-0.0002,134876.2543998711,134876.2543998711,0.0
2026-02-13,1437.1,1,0.010503557369107377,136327.66389211477,6615.680278313681,90.25953908134514
2026-02-16,1423.0,2,-0.0011519251467626336,136197.95190850098,136197.95190850098,0.0
2026-02-17,1441.3,1,0.01100414536330436,137732.51423642912,6680.509541111969,90.92625039569637
2026-02-18,1409.5,2,-0.0011519494562425435,137601.46223173384,137601.46223173384,0.0
2026-02-19,1419.4,1,0.005506267174514831,138388.8974600592,6749.351722466541,92.74309267126438
2026-02-20,1428.0,1,0.0055468553316503615,139186.48805703205,6749.351722466541,92.74309267126438
2026-02-23,1428.8,1,0.0003329159979341766,139260.6825311691,6749.351722466541,92.74309267126438
2026-02-24,1398.5,2,-0.0011519874020835042,139128.17120036035,139128.17120036035,0.0
2026-02-25,1406.8,1,0.004477228461783378,139780.42963429834,6824.236797377671,94.50966223835704
2026-02-26,1393.9,2,-0.0011516315400661426,139647.47344146142,139647.47344146142,0.0
2026-02-27,1358.0,2,-0.0002,139647.47344146142,139647.47344146142,0.0
2026-03-02,1345.0,0,0.0,139647.47344146142,139647.47344146142,0.0
2026-03-04,1389.4,1,0.02975735853125809,143894.2361705105,6849.708572303673,98.63576191032591
2026-03-05,1404.8,1,0.010300971358019308,145413.22690392952,6849.708572303673,98.63576191032591
2026-03-06,1424.0,1,0.012739542000905263,147307.03353260778,6849.708572303673,98.63576191032591
2026-03-09,1408.8,2,-0.0011539553356641943,147166.57620764748,147166.57620764748,0.0
2026-03-10,1390.2,2,-0.0002,147166.57620764748,147166.57620764748,0.0
2026-03-11,1392.2,2,-0.0002,147166.57620764748,147166.57620764748,0.0
2026-03-12,1380.7,0,0.0,147166.57620764748,147166.57620764748,0.0
2026-03-13,1395.1,1,0.008718132648749889,148484.896998072,7218.520562985097,101.25896095985014
